"Longitude" "Latitude" "Longneg" "Depth" "substrate" "substrate_code"
273.45 30.25 -86.55 24.8125 200 5
273.45 30.35 -86.55 18.6456692913386 30 4
273.55 28.55 -86.45 494.180555555556 2 1
273.55 28.65 -86.45 440.916666666667 3 2
273.55 28.75 -86.45 409.458333333333 3 2
273.55 28.85 -86.45 390.076388888889 3 2
273.55 28.95 -86.45 373.75 3 2
273.55 29.05 -86.45 363.861111111111 3 2
273.55 29.15 -86.45 348.638888888889 3 2
273.55 29.25 -86.45 327.722222222222 3 2
273.55 29.35 -86.45 281.520833333333 3 2
273.55 29.45 -86.45 219.513888888889 3 2
273.55 29.55 -86.45 169.472222222222 30 4
273.55 29.65 -86.45 136.993055555556 3 2
273.55 29.75 -86.45 114.083333333333 2 1
273.55 29.85 -86.45 83.6527777777778 30 4
273.55 29.95 -86.45 68.2083333333333 200 5
273.55 30.05 -86.45 47.3888888888889 300 6
273.55 30.15 -86.45 34.0208333333333 30 4
273.55 30.25 -86.45 25.0625 200 5
273.55 30.35 -86.45 20.3275862068966 20 3
273.65 28.55 -86.35 447.638888888889 3 2
273.65 28.65 -86.35 402.256944444444 3 2
273.65 28.75 -86.35 374.680555555556 3 2
273.65 28.85 -86.35 358.597222222222 3 2
273.65 28.95 -86.35 345.361111111111 3 2
273.65 29.05 -86.35 334.631944444444 3 2
273.65 29.15 -86.35 318.215277777778 3 2
273.65 29.25 -86.35 290 3 2
273.65 29.35 -86.35 240.111111111111 3 2
273.65 29.45 -86.35 182.6875 2 1
273.65 29.55 -86.35 140.694444444444 3 2
273.65 29.65 -86.35 114.083333333333 3 2
273.65 29.75 -86.35 95.0347222222222 30 4
273.65 29.85 -86.35 75.4791666666667 20 3
273.65 29.95 -86.35 61.7361111111111 20 3
273.65 30.05 -86.35 44.25 300 6
273.65 30.15 -86.35 33.9236111111111 20 3
273.65 30.25 -86.35 26.8472222222222 20 3
273.65 30.35 -86.35 18.7830188679245 200 5
273.75 28.45 -86.25 473.805555555556 3 2
273.75 28.55 -86.25 407.145833333333 3 2
273.75 28.65 -86.25 370.125 3 2
273.75 28.75 -86.25 346.277777777778 3 2
273.75 28.85 -86.25 333.347222222222 3 2
273.75 28.95 -86.25 320.701388888889 3 2
273.75 29.05 -86.25 308.611111111111 3 2
273.75 29.15 -86.25 286.590277777778 3 2
273.75 29.25 -86.25 252.166666666667 3 2
273.75 29.35 -86.25 203.1875 3 2
273.75 29.45 -86.25 145.069444444444 30 4
273.75 29.55 -86.25 113.513888888889 2 1
273.75 29.65 -86.25 71.3819444444444 30 4
273.75 29.75 -86.25 65.5763888888889 30 4
273.75 29.85 -86.25 60.6875 2 1
273.75 29.95 -86.25 52.3819444444444 2 1
273.75 30.05 -86.25 38.0138888888889 300 6
273.75 30.15 -86.25 31.8333333333333 30 4
273.75 30.25 -86.25 26.8055555555556 200 5
273.75 30.35 -86.25 18.0428571428571 200 5
273.85 28.45 -86.15 427.520833333333 3 2
273.85 28.55 -86.15 371.944444444444 3 2
273.85 28.65 -86.15 341.590277777778 3 2
273.85 28.75 -86.15 322.909722222222 3 2
273.85 28.85 -86.15 309.930555555556 3 2
273.85 28.95 -86.15 296.423611111111 3 2
273.85 29.05 -86.15 281.965277777778 3 2
273.85 29.15 -86.15 254.180555555556 3 2
273.85 29.25 -86.15 218.041666666667 3 2
273.85 29.35 -86.15 162.659722222222 30 4
273.85 29.45 -86.15 105.791666666667 20 3
273.85 29.55 -86.15 85.0763888888889 200 5
273.85 29.65 -86.15 60.3819444444444 20 3
